ParName   Value   Gradient
MGparm[2]           10  2.27906e-07
MGparm[3]      13.1527  1.40315e-06
MGparm[4]     0.915391  1.26728e-07
MGparm[5]         0.15 -4.74504e-07
MGparm[6]     0.126871  5.74512e-08
SR_parm[1]      6.86206  3.70539e-07
recdev1(1989)     0.221664  4.59132e-09
recdev1(1990)     0.182396 -3.57343e-07
recdev1(1991)   -0.0687215 -1.51899e-07
recdev1(1992)    -0.257705 -5.04878e-08
recdev1(1993)    -0.192011  2.64352e-07
recdev1(1994)    -0.156911  3.38307e-07
recdev1(1995)     0.182111 -3.96477e-08
recdev1(1996)     0.101255 -1.96245e-08
recdev1(1997)     0.138205  4.09603e-07
recdev1(1998)    -0.116638 -8.78505e-09
recdev1(1999)      0.13687  2.07233e-07
recdev1(2000)     0.265503 -9.28263e-08
recdev1(2001)     0.345021  2.74388e-07
recdev1(2002)    -0.054926  2.71989e-07
recdev1(2003)    -0.327879  1.13353e-06
recdev1(2004)     0.272926   1.0951e-06
recdev1(2005)     0.543701 -1.42611e-07
recdev1(2006)   -0.0336392 -1.05279e-07
recdev1(2007)     -0.43833 -2.78027e-07
recdev1(2008)    -0.379892  9.95335e-08
recdev1(2009)     -0.42877 -1.23403e-06
recdev1(2010)    -0.109761 -9.04022e-07
recdev1(2011)    -0.433865 -5.78136e-07
recdev1(2012)   -0.0517853 -2.08593e-06
recdev1(2013)     0.766713   -1.175e-06
recdev1(2014)     0.317699 -6.29897e-07
recdev1(2015)    -0.645183  6.24651e-07
recdev1(2016)   -0.0110486  1.68458e-07
recdev1(2017)     0.471792  3.99513e-07
recdev1(2018)     0.312756  1.22838e-06
recdev1(2019)    -0.590553  1.54833e-07
recdev1(2020)     0.041396  1.34711e-06
recdev1(2021)   -0.0023879 -1.59367e-07
Fcast_recruitments(2022)            0            0
Q_parm[1]      8.47546  4.12999e-06
Q_parm[2]      7.92017 -5.39695e-06
selparm[1]      5.44488  4.05027e-08
selparm[2]      12.4646 -1.70987e-08
selparm[3]      5.62922  2.02554e-07
selparm[4]    0.0171945 -1.00811e-07
selparm[5]           10 -7.95889e-08
selparm[6]      2.75396  1.76111e-07
