"";"year";"step";"fleet";"sex";"part";"ageerr";"Lbin_hi";"Lbin_lo";"Nsamp";"0";"1";"2";"3"
"1";"1989";"1";3;0;0;2;3,5;3,5;10;"0";"0";"0";"0"
"2";"1989";"1";3;0;0;2;4;4;10;"0";"0";"0";"0"
"3";"1989";"1";3;0;0;2;4,5;4,5;10;"0";"0";"0";"0"
"4";"1989";"1";3;0;0;2;5;5;10;"0";"0";"0";"0"
"5";"1989";"1";3;0;0;2;5,5;5,5;10;"0";"0";"0";"0"
"6";"1989";"1";3;0;0;2;6;6;10;"0";"0";"0";"0"
"7";"1989";"1";3;0;0;2;6,5;6,5;10;"0";"0";"0";"0"
"8";"1989";"1";3;0;0;2;7;7;10;"0";"2";"0";"0"
"9";"1989";"1";3;0;0;2;7,5;7,5;10;"0";"3";"0";"0"
"10";"1989";"1";3;0;0;2;8;8;10;"0";"13";"0";"0"
"11";"1989";"1";3;0;0;2;8,5;8,5;10;"0";"22";"0";"0"
"12";"1989";"1";3;0;0;2;9;9;10;"0";"14";"0";"0"
"13";"1989";"1";3;0;0;2;9,5;9,5;10;"0";"22";"0";"0"
"14";"1989";"1";3;0;0;2;10;10;10;"0";"45";"0";"0"
"15";"1989";"1";3;0;0;2;10,5;10,5;10;"0";"49";"0";"0"
"16";"1989";"1";3;0;0;2;11;11;10;"0";"46";"0";"0"
"17";"1989";"1";3;0;0;2;11,5;11,5;10;"0";"45";"0";"0"
"18";"1989";"1";3;0;0;2;12;12;10;"0";"32";"0";"0"
"19";"1989";"1";3;0;0;2;12,5;12,5;10;"0";"16";"0";"0"
"20";"1989";"1";3;0;0;2;13;13;10;"0";"5";"0";"0"
"21";"1989";"1";3;0;0;2;13,5;13,5;10;"0";"0";"0";"0"
"22";"1989";"1";3;0;0;2;14;14;10;"0";"0";"0";"0"
"23";"1989";"1";3;0;0;2;14,5;14,5;10;"0";"3";"0";"0"
"24";"1989";"1";3;0;0;2;15;15;10;"0";"0";"0";"0"
"25";"1989";"1";3;0;0;2;15,5;15,5;10;"0";"0";"0";"0"
"26";"1989";"1";3;0;0;2;16;16;10;"0";"0";"0";"0"
"27";"1989";"1";3;0;0;2;16,5;16,5;10;"0";"0";"0";"0"
"28";"1989";"1";3;0;0;2;17;17;10;"0";"0";"0";"0"
"29";"1989";"1";3;0;0;2;17,5;17,5;10;"0";"0";"0";"0"
"30";"1989";"1";3;0;0;2;18;18;10;"0";"0";"0";"0"
"31";"1989";"1";3;0;0;2;18,5;18,5;10;"0";"0";"0";"0"
"32";"1989";"1";3;0;0;2;19;19;10;"0";"0";"0";"0"
"33";"1989";"2";3;0;0;2;3,5;3,5;10;"0";"0";"0";"0"
"34";"1989";"2";3;0;0;2;4;4;10;"0";"0";"0";"0"
"35";"1989";"2";3;0;0;2;4,5;4,5;10;"0";"0";"0";"0"
